Variable,File
fx_x1sx1_ao1,107_20251022_111558_50tables.xlsx
fx_x1sx1_ao2,107_20251022_111558_50tables.xlsx
fx_x1sx1_ao3,107_20251022_111558_50tables.xlsx
fx_x1sx1_ao4,107_20251022_111558_50tables.xlsx
fx_x1sx1_ao5,107_20251022_111558_50tables.xlsx
fx_x1sx1_ao6,107_20251022_111558_50tables.xlsx
fx_x1sx1_ao7,107_20251022_111558_50tables.xlsx
fx_x1sx1_ao8,107_20251022_111558_50tables.xlsx
fx_x1sx1_di1,107_20251022_111558_50tables.xlsx
fx_x1sx1_di10,107_20251022_111558_50tables.xlsx
fx_x1sx1_di11,107_20251022_111558_50tables.xlsx
fx_x1sx1_di12,107_20251022_111558_50tables.xlsx
fx_x1sx1_di13,107_20251022_111558_50tables.xlsx
fx_x1sx1_di14,107_20251022_111558_50tables.xlsx
fx_x1sx1_di15,107_20251022_111558_50tables.xlsx
fx_x1sx1_di16,107_20251022_111558_50tables.xlsx
fx_x1sx1_di17,107_20251022_111558_50tables.xlsx
fx_x1sx1_di18,107_20251022_111558_50tables.xlsx
fx_x1sx1_di19,107_20251022_111558_50tables.xlsx
fx_x1sx1_di2,107_20251022_111558_50tables.xlsx
fx_x1sx1_di20,107_20251022_111558_50tables.xlsx
fx_x1sx1_di21,107_20251022_111558_50tables.xlsx
fx_x1sx1_di22,107_20251022_111558_50tables.xlsx
fx_x1sx1_di23,107_20251022_111558_50tables.xlsx
fx_x1sx1_di24,107_20251022_111558_50tables.xlsx
fx_x1sx1_di25,107_20251022_111558_50tables.xlsx
fx_x1sx1_di26,107_20251022_111558_50tables.xlsx
fx_x1sx1_di27,107_20251022_111558_50tables.xlsx
fx_x1sx1_di3,107_20251022_111558_50tables.xlsx
fx_x1sx1_di4,107_20251022_111558_50tables.xlsx
fx_x1sx1_di5,107_20251022_111558_50tables.xlsx
fx_x1sx1_di6,107_20251022_111558_50tables.xlsx
fx_x1sx1_di7,107_20251022_111558_50tables.xlsx
fx_x1sx1_di8,107_20251022_111558_50tables.xlsx
fx_x1sx1_di9,107_20251022_111558_50tables.xlsx
fx_x1sx1_do1,107_20251022_111558_50tables.xlsx
fx_x1sx1_do10,107_20251022_111558_50tables.xlsx
fx_x1sx1_do2,107_20251022_111558_50tables.xlsx
fx_x1sx1_do3,107_20251022_111558_50tables.xlsx
fx_x1sx1_do4,107_20251022_111558_50tables.xlsx
fx_x1sx1_do5,107_20251022_111558_50tables.xlsx
fx_x1sx1_do6,107_20251022_111558_50tables.xlsx
fx_x1sx1_do7,107_20251022_111558_50tables.xlsx
fx_x1sx1_do8,108_20251022_111628_50tables.xlsx
fx_x1sx1_do9,108_20251022_111628_50tables.xlsx
fx_x1sx2_ai2,108_20251022_111628_50tables.xlsx
fx_x1sx2_ai27,108_20251022_111628_50tables.xlsx
fx_x1sx2_ao1,108_20251022_111628_50tables.xlsx
fx_x1sx2_ao2,108_20251022_111628_50tables.xlsx
fx_x1sx2_ao3,108_20251022_111628_50tables.xlsx
fx_x1sx2_ao4,108_20251022_111628_50tables.xlsx
fx_x1sx2_ao5,108_20251022_111628_50tables.xlsx
fx_x1sx2_ao6,108_20251022_111628_50tables.xlsx
fx_x1sx2_di1,108_20251022_111628_50tables.xlsx
fx_x1sx2_di10,108_20251022_111628_50tables.xlsx
fx_x1sx2_di11,108_20251022_111628_50tables.xlsx
fx_x1sx2_di12,108_20251022_111628_50tables.xlsx
fx_x1sx2_di13,108_20251022_111628_50tables.xlsx
fx_x1sx2_di14,108_20251022_111628_50tables.xlsx
fx_x1sx2_di15,108_20251022_111628_50tables.xlsx
fx_x1sx2_di16,108_20251022_111628_50tables.xlsx
fx_x1sx2_di17,108_20251022_111628_50tables.xlsx
fx_x1sx2_di18,108_20251022_111628_50tables.xlsx
fx_x1sx2_di19,108_20251022_111628_50tables.xlsx
fx_x1sx2_di2,108_20251022_111628_50tables.xlsx
fx_x1sx2_di3,108_20251022_111628_50tables.xlsx
fx_x1sx2_di4,108_20251022_111628_50tables.xlsx
fx_x1sx2_di5,108_20251022_111628_50tables.xlsx
fx_x1sx2_di6,109_20251022_111709_50tables.xlsx
fx_x1sx2_di7,109_20251022_111709_50tables.xlsx
fx_x1sx2_di8,109_20251022_111709_50tables.xlsx
fx_x1sx2_di9,109_20251022_111709_50tables.xlsx
fx_x1sx2_do1,109_20251022_111709_50tables.xlsx
fx_x1sx2_do2,109_20251022_111709_50tables.xlsx
fx_x1sx2_do3,109_20251022_111709_50tables.xlsx
fx_x1sx2_do4,109_20251022_111709_50tables.xlsx
fx_x1sx2_do5,109_20251022_111709_50tables.xlsx
fx_x1sx2_do6,109_20251022_111709_50tables.xlsx
fx_x1sx2_do7,109_20251022_111709_50tables.xlsx
fx_x1sx3_ai27,109_20251022_111709_50tables.xlsx
fx_x1sx3_ao1,109_20251022_111709_50tables.xlsx
fx_x1sx3_ao2,109_20251022_111709_50tables.xlsx
fx_x1sx3_ao3,109_20251022_111709_50tables.xlsx
fx_x1sx3_ao4,109_20251022_111709_50tables.xlsx
fx_x1sx3_ao5,109_20251022_111709_50tables.xlsx
fx_x1sx3_ao6,109_20251022_111709_50tables.xlsx
fx_x1sx3_di1,109_20251022_111709_50tables.xlsx
fx_x1sx3_di10,109_20251022_111709_50tables.xlsx
fx_x1sx3_di11,109_20251022_111709_50tables.xlsx
fx_x1sx3_di12,109_20251022_111709_50tables.xlsx
fx_x1sx3_di13,109_20251022_111709_50tables.xlsx
fx_x1sx3_di14,109_20251022_111709_50tables.xlsx
fx_13f01_kdw,10_20251022_093726_50tables.xlsx
