experiment,seed,n_samples,graph_type,ml_method,treatment_idx,outcome_idx,n_confounders,n_adjustment,ate_true,ate_source,theta_hat,se,ci_lower,ci_upper,bias,covers_true
68,1884,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.039035,0.021553,-0.081279,0.003208,0.031232,True
69,1897,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.038684,0.020924,-0.079694,0.002326,0.031584,True
70,1910,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.056593,0.020627,-0.097023,-0.016163,0.013675,True
71,1923,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.045068,0.020536,-0.085319,-0.004818,0.025199,True
72,1936,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.032172,0.021587,-0.074482,0.010138,0.038095,True
73,1949,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.035506,0.021298,-0.077249,0.006237,0.034762,True
74,1962,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041463,0.021884,-0.084356,0.00143,0.028805,True
75,1975,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.046648,0.021001,-0.08781,-0.005486,0.02362,True
76,1988,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.052452,0.021205,-0.094013,-0.01089,0.017816,True
77,2001,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.049331,0.021492,-0.091455,-0.007207,0.020936,True
78,2014,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041293,0.020592,-0.081654,-0.000932,0.028975,True
79,2027,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.002747,0.021105,-0.044112,0.038618,0.067521,False
80,2040,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.068696,0.02144,-0.11072,-0.026673,0.001571,True
81,2053,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.006364,0.021461,-0.048428,0.0357,0.063904,False
82,2066,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.010302,0.020764,-0.051,0.030396,0.059965,False
83,2079,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.006212,0.020882,-0.047141,0.034717,0.064056,False
84,2092,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.027902,0.021531,-0.070103,0.014298,0.042365,False
85,2105,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.050344,0.021054,-0.09161,-0.009078,0.019924,True
86,2118,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.062093,0.020869,-0.102996,-0.021189,0.008175,True
87,2131,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.000154,0.020836,-0.040992,0.040684,0.070114,False
88,2144,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.016785,0.021102,-0.024575,0.058146,0.087053,False
89,2157,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.06086,0.020231,-0.100512,-0.021208,0.009408,True
