window_size,kernel_sizes,hidden_mult,lr,epochs,batch_size,l1_lambda,h_lambda,threshold,SHD_mean,SHD_std,TPR_mean,TPR_std,FDR_mean,FDR_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,TP_mean,TP_std,FP_mean,FP_std,FN_mean,FN_std,TN_mean,TN_std
10,"[3, 5, 10]",8,0.01,30,64,0.0005,0.5,0.1,66.66666666666667,6.944222218666553,0.5592142654163115,0.01984508378074031,0.6249039692701664,0.0249309179022162,0.3750960307298336,0.024930917902216222,0.5592142654163115,0.01984508378074031,0.44886618769645265,0.023847235443157463,27.0,0.816496580927726,45.333333333333336,5.312459150169743,21.333333333333332,1.699673171197595,306.3333333333333,7.363574011458175
10,"[3, 5, 10]",8,0.01,30,64,0.0005,0.5,0.1,66.0,7.788880963698615,0.5394998579141802,0.04909224430910593,0.6250127388850136,0.04013271046091172,0.3749872611149863,0.04013271046091172,0.5394998579141802,0.04909224430910593,0.4424068959173324,0.04439243710468846,26.0,1.632993161855452,43.666666666666664,4.714045207910317,22.333333333333332,3.0912061651652345,308.0,6.48074069840786
10,"[3, 5, 10]",8,0.01,30,64,0.005,0.5,0.05,49.333333333333336,1.8856180831641267,0.39411054276783175,0.028776895087881536,0.5122100122100122,0.009729778663314557,0.48778998778998783,0.009729778663314557,0.39411054276783175,0.028776895087881536,0.435113035113035,0.01398313982538267,19.0,0.816496580927726,20.0,1.632993161855452,29.333333333333332,2.494438257849294,331.6666666666667,2.0548046676563256
10,"[3, 5, 10]",8,0.01,30,64,0.005,0.5,0.05,50.666666666666664,3.6817870057290873,0.393808610400682,0.016593671938742584,0.5280681378242355,0.020351917256369666,0.47193186217576466,0.020351917256369638,0.393808610400682,0.016593671938742584,0.42931646501780607,0.017949714150816358,19.0,0.0,21.333333333333332,1.699673171197595,29.333333333333332,2.0548046676563256,330.3333333333333,3.6817870057290873
10,"[3, 5, 10]",8,0.005,30,64,0.005,0.5,0.03,60.0,7.118052168020874,0.45760514350667797,0.07637080185897499,0.6051471270769516,0.04956022732251858,0.39485287292304844,0.04956022732251859,0.45760514350667797,0.07637080185897499,0.42374727668845313,0.06121577916438827,22.0,2.943920288775949,33.666666666666664,2.6246692913372702,26.333333333333332,4.496912521077347,318.0,4.546060565661952
10,"[3, 5, 10]",8,0.01,30,64,0.005,0.5,0.03,66.33333333333333,4.988876515698588,0.49744245524296676,0.0209604277120959,0.6356532356532356,0.015931141812258933,0.3643467643467644,0.015931141812258933,0.49744245524296676,0.0209604277120959,0.42061331613834807,0.01807098295939759,24.0,0.0,42.0,2.943920288775949,24.333333333333332,2.0548046676563256,309.6666666666667,4.988876515698588
10,"[2, 4, 8, 10]",8,0.01,30,64,0.005,0.5,0.05,51.666666666666664,0.9428090415820634,0.3792092924126172,0.017711230403533854,0.5416927246195539,0.029508833993938024,0.4583072753804461,0.02950883399393801,0.3792092924126172,0.017711230403533854,0.4147193802366216,0.01991526249502292,18.333333333333332,1.247219128924647,21.666666666666668,1.247219128924647,30.0,1.4142135623730951,330.0,0.816496580927726
10,"[3, 5, 10]",8,0.005,30,64,0.005,0.5,0.03,62.0,3.559026084010437,0.45005683432793403,0.05072652814353433,0.6199576756388515,0.013210128822398276,0.3800423243611486,0.013210128822398257,0.45005683432793403,0.05072652814353433,0.4113064105861843,0.02704159535787332,21.666666666666668,1.699673171197595,35.333333333333336,2.357022603955158,26.666666666666668,3.39934634239519,316.3333333333333,3.299831645537222
10,"[2, 4, 8, 10]",8,0.005,30,64,0.005,0.5,0.03,62.666666666666664,4.4969125210773475,0.44352088661551575,0.05620648166475785,0.6257048020756331,0.021146081424326058,0.37429519792436694,0.021146081424326064,0.44352088661551575,0.05620648166475785,0.4051902026351139,0.033525020419300736,21.333333333333332,1.8856180831641267,35.666666666666664,2.6246692913372702,27.0,3.7416573867739413,316.0,3.7416573867739413
10,"[3, 5, 10]",8,0.005,30,64,0.001,0.5,0.05,84.66666666666667,3.858612300930075,0.5950376527422563,0.07377231108049191,0.6945603191813016,0.012736238964320808,0.3054396808186984,0.012736238964320827,0.5950376527422563,0.07377231108049191,0.4030703506202598,0.02786035665615913,28.666666666666668,2.8674417556808756,65.0,3.559026084010437,19.666666666666668,4.0276819911981905,286.6666666666667,4.4969125210773475
10,"[2, 4, 8, 10]",8,0.005,30,64,0.005,0.5,0.05,50.333333333333336,3.299831645537222,0.346227621483376,0.036914055962434106,0.5288671023965142,0.024026955337813488,0.4711328976034858,0.024026955337813488,0.346227621483376,0.036914055962434106,0.39871558379449334,0.03286370067800758,16.666666666666668,1.247219128924647,18.666666666666668,0.4714045207910317,31.666666666666668,3.0912061651652345,333.0,2.160246899469287
10,"[2, 4, 8, 10]",8,0.005,30,64,0.001,0.5,0.05,88.66666666666667,2.357022603955158,0.6075056834327934,0.03660999933027285,0.7038922808660445,0.004395761394141391,0.2961077191339554,0.004395761394141363,0.6075056834327934,0.03660999933027285,0.39791313043592674,0.010801916248635603,29.333333333333332,1.699673171197595,69.66666666666667,2.6246692913372702,19.0,2.160246899469287,282.0,3.7416573867739413
